Date,PR,GHI,PR_MA30,Year,Month,Budget_PR,Above_Budget
2020-08-12,63.18027054,2.374025,74.22617177500001,2020,8,73.3088,-10.128529460000003
2020-08-13,70.54251848,3.296125,73.80384498266667,2020,8,73.3088,-2.766281520000007
2020-08-14,62.43740341,5.338333333,73.12255734,2020,8,73.3088,-10.871396590000003
2020-08-15,68.05950151,6.542925,72.56709418266668,2020,8,73.3088,-5.249298490000001
2020-08-16,64.51231562,6.588108333,72.37829215333333,2020,8,73.3088,-8.79648438000001
2020-08-17,83.38144698,5.805491667,73.04379468366666,2020,8,73.3088,10.072646980000002
2020-08-18,83.27885928,4.6093,73.33586883133333,2020,8,73.3088,9.970059280000001
2020-08-19,70.80370196,4.504258333,73.64243376433335,2020,8,73.3088,-2.505098040000007
2020-08-20,72.01206975,4.920458333,73.563448083,2020,8,73.3088,-1.2967302500000102
2020-08-21,60.02388617,5.852966667,73.27124529133333,2020,8,73.3088,-13.284913830000008
2020-08-22,65.39352233,5.7299,72.77277315266666,2020,8,73.3088,-7.915277670000009
2020-08-23,81.24745954,5.770433333,72.707229295,2020,8,73.3088,7.938659539999989
2020-08-24,82.81310078,6.372925,73.335711537,2020,8,73.3088,9.504300779999994
2020-08-25,67.76977824,6.375016667,73.10077456533332,2020,8,73.3088,-5.539021760000011
2020-08-26,63.01606436,5.904958333,72.57305351966666,2020,8,73.3088,-10.292735640000004
2020-08-27,73.65052644,6.356391667,72.57676561466666,2020,8,73.3088,0.341726439999988
2020-08-28,81.09543452,6.098608333,72.470780135,2020,8,73.3088,7.786634519999993
2020-08-29,64.68213301,6.4524,72.08230529366666,2020,8,73.3088,-8.626666990000004
2020-08-30,76.03943489,4.734875,71.88715732033333,2020,8,73.3088,2.7306348899999904
2020-08-31,82.64278301,6.173716667,72.62580838466667,2020,8,73.3088,9.333983009999997
2020-09-01,77.2688698,3.607716667,72.69360416266666,2020,9,73.3088,3.9600697999999994
2020-09-02,80.25530527,5.848,73.08984246799999,2020,9,73.3088,6.946505269999989
2020-09-03,79.11494783,5.022025,73.49961172766668,2020,9,73.3088,5.8061478300000005
2020-09-04,64.27829856,6.7933,73.03814906833333,2020,9,73.3088,-9.030501440000009
2020-09-05,79.50033226,5.315975,72.89714724633333,2020,9,73.3088,6.191532259999988
2020-09-06,75.98413614,5.303933333,72.63646817399999,2020,9,73.3088,2.675336139999999
2020-09-07,65.23346652,6.947316667,72.55765585433332,2020,9,73.3088,-8.075333480000012
2020-09-08,83.00012978,5.245983333,73.09401336733332,2020,9,73.3088,9.69132977999999
2020-09-09,70.81294717,3.982816667,73.09823038533334,2020,9,73.3088,-2.495852830000004
2020-09-10,65.33308202,4.208775,72.57879087233333,2020,9,73.3088,-7.975717979999999
2020-09-11,74.15784385,6.204075,72.94470998266667,2020,9,73.3088,0.849043850000001
2020-09-12,63.67723912,4.825333333,72.71586733733334,2020,9,73.3088,-9.631560880000002
2020-09-13,77.09746893,3.430558333,73.204536188,2020,9,73.3088,3.78866893
2020-09-14,66.50726911,3.86695,73.15279510799999,2020,9,73.3088,-6.801530890000009
2020-09-15,62.09406595,5.83625,73.07218678566667,2020,9,73.3088,-11.214734050000004
